assembly_index,nonlinearity_strength,measurement_noise_mm,method,final_quality
37,0.0,0.0,LOCKED_HYBRID,0.4507491390263702
38,0.0,0.0,ZERO,1.9788373744470487
38,0.0,0.0,LSQ,0.5772724868826575
38,0.0,0.0,LOCKED_HYBRID,0.5067902814079784
39,0.0,0.0,ZERO,3.221039752161868
39,0.0,0.0,LSQ,0.3440890234824469
39,0.0,0.0,LOCKED_HYBRID,0.27919090817671716
40,0.0,0.0,ZERO,2.9040792184263053
40,0.0,0.0,LSQ,0.6363006755779905
40,0.0,0.0,LOCKED_HYBRID,0.5788755479009416
41,0.0,0.0,ZERO,1.3729148851223447
41,0.0,0.0,LSQ,0.07919944935419851
41,0.0,0.0,LOCKED_HYBRID,0.09049985619764635
42,0.0,0.0,ZERO,2.192608013001001
42,0.0,0.0,LSQ,0.48779759360797587
42,0.0,0.0,LOCKED_HYBRID,0.4464111673671839
43,0.0,0.0,ZERO,1.8806609199217557
43,0.0,0.0,LSQ,0.18495264375472906
43,0.0,0.0,LOCKED_HYBRID,0.20563774612843239
44,0.0,0.0,ZERO,2.4261362607930455
44,0.0,0.0,LSQ,0.44518782675564905
44,0.0,0.0,LOCKED_HYBRID,0.38508261307904523
45,0.0,0.0,ZERO,1.547151968580552
45,0.0,0.0,LSQ,0.6157630351271873
45,0.0,0.0,LOCKED_HYBRID,0.5159900017141228
46,0.0,0.0,ZERO,1.3799697026277968
46,0.0,0.0,LSQ,0.5309404491482417
46,0.0,0.0,LOCKED_HYBRID,0.4757673119817695
47,0.0,0.0,ZERO,0.8697939199488077
47,0.0,0.0,LSQ,0.13065379576185976
47,0.0,0.0,LOCKED_HYBRID,0.15069323704726897
48,0.0,0.0,ZERO,4.11393847152039
48,0.0,0.0,LSQ,0.7976770019171435
48,0.0,0.0,LOCKED_HYBRID,0.6225359366015657
49,0.0,0.0,ZERO,0.9550110962145455
49,0.0,0.0,LSQ,0.9234402985814427
49,0.0,0.0,LOCKED_HYBRID,0.8201052939382365
50,0.0,0.0,ZERO,2.050127297567709
50,0.0,0.0,LSQ,0.22724300930206007
50,0.0,0.0,LOCKED_HYBRID,0.20594203113488757
51,0.0,0.0,ZERO,0.6520876532435166
51,0.0,0.0,LSQ,0.6601446379331386
51,0.0,0.0,LOCKED_HYBRID,0.5557430315361324
52,0.0,0.0,ZERO,2.2626040231196454
52,0.0,0.0,LSQ,0.14766284460941873
52,0.0,0.0,LOCKED_HYBRID,0.1740355411516103
53,0.0,0.0,ZERO,1.4506201761335267
53,0.0,0.0,LSQ,0.1684897962087841
53,0.0,0.0,LOCKED_HYBRID,0.17483676277717994
54,0.0,0.0,ZERO,2.9556294955993403
54,0.0,0.0,LSQ,0.17238809117508536
54,0.0,0.0,LOCKED_HYBRID,0.17013240144401695
55,0.0,0.0,ZERO,1.0174334836450127
55,0.0,0.0,LSQ,0.14024991522998795
55,0.0,0.0,LOCKED_HYBRID,0.13900616271932484
56,0.0,0.0,ZERO,5.051681499562863
56,0.0,0.0,LSQ,0.5548448183798829
56,0.0,0.0,LOCKED_HYBRID,0.4514702134046954
57,0.0,0.0,ZERO,1.164245869618852
