rule_name,margin_threshold,uncertainty_threshold,utilization_threshold,n_triggered,trigger_rate_percent,regret_capture_percent,positive_regret_capture_percent,exact_miss_capture_percent,positive_regret_precision_percent,exact_miss_precision_percent,positive_regret_lift,exact_miss_lift,triggered_mean_regret,nontriggered_mean_regret,regret_concentration
tree_std_only_q0.90,,0.09103730722544369,,50,10.0,28.28933317700873,18.181818181818183,18.181818181818183,12.0,12.0,1.8181818181818181,1.8181818181818181,0.0065791573611302025,0.001853057155846508,2.8289333177008733
tree_std_only_q0.95,,0.12039645358614419,,25,5.0,10.547878204773246,9.090909090909092,9.090909090909092,12.0,12.0,1.8181818181818181,1.8181818181818181,0.0049061708242482205,0.002189851194907859,2.1095756409546493
margin_or_tree_std,0.0015659170414690571,0.047584911896298356,,173,34.599999999999994,55.98772589248638,48.484848484848484,48.484848484848484,9.248554913294797,9.248554913294797,1.40129619898406,1.40129619898406,0.0037632605892494045,0.0015651055236920238,1.6181423668348667
margin_or_tree_std,0.0015659170414690571,0.05740543258281412,,148,29.599999999999998,49.11523226950606,33.33333333333333,33.33333333333333,7.4324324324324325,7.4324324324324325,1.126126126126126,1.126126126126126,0.0038589757955817027,0.0016809805978447343,1.659298387483313
margin_or_tree_std,0.0015659170414690571,0.06787304727593713,,124,24.8,47.54623155940881,30.303030303030305,30.303030303030305,8.064516129032258,8.064516129032258,1.2218963831867056,1.2218963831867056,0.004458738310404692,0.0016222075470671725,1.9171867564277747
margin_or_tree_std,0.0015659170414690571,0.07606277016589147,,99,19.8,47.54623155940882,30.303030303030305,30.303030303030305,10.1010101010101,10.1010101010101,1.5304560759106212,1.5304560759106212,0.005584682328183655,0.0015210724132101168,2.4013248262327687
margin_or_tree_std,0.0015659170414690571,0.09103730722544369,,74,14.799999999999999,28.458017218301734,21.21212121212121,21.21212121212121,9.45945945945946,9.45945945945946,1.4332514332514332,1.4332514332514332,0.004471883550629421,0.0019528502475137594,1.9228390012366037
margin_or_tree_std,0.0015659170414690571,0.12039645358614419,,50,10.0,10.716562246066248,12.121212121212121,12.121212121212121,8.0,8.0,1.212121212121212,1.212121212121212,0.00249231570592545,0.0023071506730914797,1.0716562246066248
margin_or_tree_std,0.006742544927672817,0.047584911896298356,,192,38.4,76.91627298716202,69.6969696969697,69.6969696969697,11.979166666666668,11.979166666666668,1.8150252525252526,1.8150252525252526,0.004658376338940946,0.0008715108152947306,2.003027942374011
margin_or_tree_std,0.006742544927672817,0.05740543258281412,,170,34.0,71.45952028426056,63.63636363636363,63.63636363636363,12.352941176470589,12.352941176470589,1.8716577540106951,1.8716577540106951,0.004887972375429398,0.0010056917708013364,2.101750596595899
margin_or_tree_std,0.006742544927672817,0.06787304727593713,,146,29.2,69.8905195741633,60.60606060606061,60.60606060606061,13.698630136986301,13.698630136986301,2.0755500207555,2.0755500207555,0.005566509839500598,0.0009890484509049468,2.3935109443206617
margin_or_tree_std,0.006742544927672817,0.07606277016589147,,121,24.2,69.89051957416332,60.60606060606061,60.60606060606061,16.528925619834713,16.528925619834713,2.504382669671926,2.504382669671926,0.006716615178240392,0.000923807787916494,2.8880379989323686
margin_or_tree_std,0.006742544927672817,0.09103730722544369,,97,19.400000000000002,50.80230523305623,51.515151515151516,51.515151515151516,17.525773195876287,17.525773195876287,2.6554201811933766,2.6554201811933766,0.006090167719829718,0.0014195715120693697,2.6186755274771256
margin_or_tree_std,0.006742544927672817,0.12039645358614419,,74,14.799999999999999,35.33349687170719,45.45454545454545,45.45454545454545,20.27027027027027,20.27027027027027,3.071253071253071,3.071253071253071,0.005552294182504988,0.001765173283291243,2.387398437277513
margin_or_tree_std,0.018084364881559973,0.047584911896298356,,211,42.199999999999996,91.41094586686536,81.81818181818183,81.81818181818183,12.796208530805686,12.796208530805686,1.9388194743644978,1.9388194743644978,0.005037711762178898,0.0003455931016183076,2.1661361579825917
margin_or_tree_std,0.018084364881559973,0.05740543258281412,,190,38.0,89.21532731859853,78.78787878787878,78.78787878787878,13.684210526315791,13.684210526315791,2.0733652312599684,2.0733652312599684,0.005460135746694881,0.00040454127843681073,2.3477717715420665
