assembly_id,batch_condition,structured20_final_quality,warmstart_bo_final_quality,bo_quality_benefit,bo_better,structured_better,essential_tie,n_component_decisions,n_bo_refinements,mean_prediction_abs_error,max_prediction_abs_error,mean_regret,max_regret,mean_utilization,max_utilization,bo_refinement_rate_percent,bo_used_at_least_once
526,fixture_drift,0.4172437189647918,0.3329354880857548,0.084308230879037,True,False,False,5,1,0.02292618142746538,0.088232126795016,0.01888545064973026,0.0721236026792563,0.2779321910021364,0.3847957260485509,20.0,True
538,fixture_drift,0.3803915017478337,0.3827138755578904,-0.002322373810056677,False,True,False,5,1,0.029270703562271683,0.0781764283735112,0.0311225307310945,0.095815744788765,0.23969027823280964,0.264381574967181,20.0,True
539,fixture_drift,0.1378257910634218,0.1378257910634218,0.0,False,False,True,5,0,0.00277534184685878,0.0064985792123725,0.0011487099623081602,0.0057435498115408,0.26807618888653945,0.3346041276899066,0.0,False
545,fixture_drift,0.2226977950022294,0.2226977950022294,0.0,False,False,True,5,0,0.0035577016710441798,0.0080622643185205,0.0,0.0,0.255547570414772,0.2728726231117289,0.0,False
547,fixture_drift,0.1844256991105319,0.1844256991105319,0.0,False,False,True,5,0,0.00973622468802458,0.0253285574639625,0.0,0.0,0.2305460131915707,0.2512163072405328,0.0,False
549,fixture_drift,0.2301283300510845,0.2301283300510845,0.0,False,False,True,5,0,0.01368641630499028,0.0223235708247443,0.00500200415484964,0.0250100207742482,0.2512163072405328,0.2512163072405328,0.0,False
554,fixture_drift,0.2528963223837403,0.2425654187420429,0.01033090364169742,True,False,False,5,1,0.027499341965957345,0.0542526999449474,0.0028957157562924,0.014478578781462,0.238075389303758,0.3777880999843929,20.0,True
556,fixture_drift,0.3260507613088548,0.3260507613088548,0.0,False,False,True,5,0,0.00736800612296874,0.0172978170067216,0.0,0.0,0.25281202378615936,0.2591948899686656,0.0,False
571,fixture_drift,0.2924511993582758,0.2924511993582758,0.0,False,False,True,5,0,0.01253795966857812,0.0193104161798703,0.03691094321710376,0.0784434192761391,0.25716119864842213,0.2809407642799794,0.0,False
598,fixture_drift,0.3954015751238074,0.3862588702533968,0.009142704870410634,True,False,False,5,1,0.00847932087891116,0.0240654083809493,0.00680467409852306,0.0246946592574396,0.2398740361938127,0.3957956783149359,20.0,True
606,fixture_drift,0.3747614790817504,0.3747614790817504,0.0,False,False,True,5,0,0.006295132546569179,0.013054691121765,0.0242092380699584,0.1115498342851561,0.2512163072405328,0.2512163072405328,0.0,False
613,fixture_drift,0.1925184300031779,0.1925184300031779,0.0,False,False,True,5,0,0.010450651589831942,0.0332484389804406,0.0031103244887701,0.0155516224438505,0.2525397057080213,0.2578332995779755,0.0,False
640,fixture_drift,0.2205943040682454,0.2205943040682454,0.0,False,False,True,5,0,0.004483606735457672,0.0092846175347672,0.0034797234363104597,0.0148555431189069,0.25753527864500525,0.2828111642628951,0.0,False
653,fixture_drift,0.2121174838940362,0.2121174838940362,0.0,False,False,True,5,0,0.0201553012084661,0.0543951886111904,0.007927259033531319,0.0297375837279302,0.2512163072405328,0.2512163072405328,0.0,False
655,fixture_drift,0.1711320732204014,0.1711320732204014,0.0,False,False,True,5,0,0.02454277626586444,0.056569629764137,0.0,0.0,0.24585250056515942,0.3127921001488026,0.0,False
673,high_variation,0.1441213302627283,0.1441213302627283,0.0,False,False,True,5,0,0.00222154625463138,0.0059188485599303,0.00097112659767454,0.0032725772175624,0.0701412013792759,0.3340843900092721,0.0,False
710,high_variation,0.0883716722151582,0.0883716722151582,0.0,False,False,True,5,0,0.020022436911462074,0.0585887176838607,0.013843266810965598,0.069216334054828,0.1613706123141701,0.3413702292101004,0.0,False
