assembly_id,batch_id,batch_condition,zero_final_quality,structured20_final_quality,selective_bo_final_quality,structured20_beats_zero,selective_bo_beats_zero,selective_bo_beats_structured20,structured20_beats_selective_bo,structured20_improvement_vs_zero_percent,selective_improvement_vs_zero_percent,selective_minus_structured_quality,n_bo_triggers,bo_trigger_rate_percent,selective_final_mean_gap,selective_final_max_gap,selective_final_parallelism,selective_final_rms,structured_improvement,structured_improvement_percent,structured_residual_ratio,assembly_improved,high_residual_assembly,difficult_assembly
100049,5,normal,0.3637311468230257,0.1994406103175448,0.1994406103175448,True,True,False,False,45.16812429742697,45.16812429742697,0.0,1,20.0,0.1823047056264943,0.4112570628752872,2.775557561562892e-17,0.2137207976701042,0.16429053650548092,45.16812429742699,0.5483187570257301,True,False,False
100050,5,normal,0.9401570492448288,0.1102959138469973,0.1102959138469973,True,True,False,False,88.26835219332861,88.26835219332861,0.0,2,40.0,0.0894151901941658,0.2398016996124481,2.775557561562892e-17,0.115308469050132,0.8298611353978315,88.26835219332861,0.11731647806671378,True,False,False
100051,6,offset_drift,1.0717074159474038,0.1011841364483414,0.1349809682319303,True,True,False,True,90.55860443413157,87.40505419451583,0.0337968317835888,1,20.0,0.1254236627912522,0.2696776907715361,0.003420998167827,0.1542426271274569,0.9705232794990624,90.55860443413157,0.09441395565868438,True,False,False
100052,6,offset_drift,1.6247449849577345,0.1546106614858594,0.2036784552247759,True,True,False,True,90.48400438731734,87.46397390910707,0.0490677937389165,1,20.0,0.1247290323503454,0.3604302505427718,0.1389339422889476,0.1645048767015653,1.4701343234718751,90.48400438731736,0.0951599561268265,True,False,False
100053,6,offset_drift,1.5232245647269893,0.2218233624573337,0.2218233624573337,True,True,False,False,85.43725149961118,85.43725149961118,0.0,0,0.0,0.200089226373175,0.3929973597685784,0.0708645324710717,0.2263802687348613,1.3014012022696555,85.43725149961118,0.14562748500388814,True,False,False
100054,6,offset_drift,1.4190304732585717,0.2726584412975305,0.2726584412975305,True,True,False,False,80.78558237925539,80.78558237925539,0.0,1,20.0,0.2664191329174982,0.5414344089188632,1.1102230246251563e-16,0.3030237874662208,1.1463720319610413,80.7855823792554,0.192144176207446,True,False,False
100055,6,offset_drift,0.7385249096155712,0.0436402137221051,0.0436402137221051,True,True,False,False,94.09089481561,94.09089481561,0.0,0,0.0,0.0433275412614806,0.0850449058581125,5.551115123125783e-17,0.0512847958622712,0.694884695893466,94.09089481561001,0.05909105184389976,True,False,False
100056,6,offset_drift,2.8886383440421106,0.3437781326231672,0.3437781326231672,True,True,False,False,88.09895557426847,88.09895557426847,0.0,0,0.0,0.3785880653579872,0.6266833427747899,1.1102230246251563e-16,0.4219671018333409,2.5448602114189436,88.09895557426847,0.1190104442573153,True,True,True
100057,6,offset_drift,0.9644004480896392,0.1369568282004799,0.1369568282004799,True,True,False,False,85.79875937720945,85.79875937720945,0.0,0,0.0,0.1282433463540149,0.2784059450198913,5.551115123125783e-17,0.1496204078830804,0.8274436198891593,85.79875937720945,0.14201240622790548,True,False,False
100058,6,offset_drift,1.521741340883885,0.3667027215574922,0.3667027215574922,True,True,False,False,75.90242758703674,75.90242758703674,0.0,0,0.0,0.3138703284548905,0.7816247508661155,5.551115123125783e-17,0.3805419776119041,1.1550386193263926,75.90242758703674,0.24097572412963256,True,True,True
100059,6,offset_drift,1.5936871278580842,0.074092811637614,0.074092811637614,True,True,False,False,95.35085586484,95.35085586484,0.0,0,0.0,0.0730353696226598,0.1459830647248208,2.775557561562892e-17,0.0838728133336978,1.5195943162204701,95.35085586483999,0.046491441351600014,True,False,False
100060,6,offset_drift,0.9590689191092948,0.0377884685901192,0.0773751300221579,True,True,False,True,96.05987976075647,91.93226592161724,0.0395866614320386,1,20.0,0.0902936702223928,0.1147969979719339,0.0222466170763317,0.0917394444096038,0.9212804505191756,96.0598797607565,0.039401202392435004,True,False,False
100061,7,offset_drift,1.4137567859586289,0.1473308055193225,0.1473308055193225,True,True,False,False,89.57877288493992,89.57877288493992,0.0,0,0.0,0.1350031201670795,0.3037008912951153,0.0,0.1571960208066405,1.2664259804393063,89.57877288493992,0.10421227115060079,True,False,False
100062,7,offset_drift,1.1439242011774349,0.4022069779255969,0.4022069779255969,True,True,False,False,64.83971774426945,64.83971774426945,0.0,1,20.0,0.3503577641521216,0.8495878002991794,0.0,0.4222330859020667,0.741717223251838,64.83971774426946,0.35160282255730535,True,True,True
100063,7,offset_drift,1.1259090755446648,0.2545393153098255,0.2545393153098255,True,True,False,False,77.39255142013216,77.39255142013216,0.0,0,0.0,0.2263241032764567,0.5325047744446156,0.0,0.2689065199350381,0.8713697602348394,77.39255142013216,0.22607448579867845,True,False,False
100064,7,offset_drift,1.073855274623158,0.1919221569056303,0.1919221569056303,True,True,False,False,82.12774463737857,82.12774463737857,0.0,0,0.0,0.1953322311426575,0.3706054693927468,1.3877787807814454e-16,0.2214084674500899,0.8819331177175277,82.12774463737858,0.17872255362621417,True,False,False
100065,7,offset_drift,0.7994043670111379,0.0741898830985144,0.069209224301545,True,True,True,False,90.71935478962916,91.34240102286296,-0.0049806587969694,1,20.0,0.0614610895780506,0.1321625528269855,0.0131232502007693,0.0718515651980336,0.7252144839126236,90.71935478962918,0.09280645210370828,True,False,False
100066,7,offset_drift,1.9763803613139688,0.183462689189476,0.183462689189476,True,True,False,False,90.71723779589148,90.71723779589148,0.0,0,0.0,0.1473109488942976,0.3435892479952713,0.0630454504392334,0.1727899499083534,1.7929176721244928,90.7172377958915,0.09282762204108495,True,False,False
100067,7,offset_drift,1.03920445349236,0.2869576700244049,0.2869576700244049,True,True,False,False,72.38679366124227,72.38679366124227,0.0,2,40.0,0.2468456818449087,0.6097754987528445,8.326672684688674e-17,0.2997131584507894,0.7522467834679549,72.38679366124227,0.2761320633875773,True,False,False
100068,7,offset_drift,1.0505705063908006,0.2422683091839409,0.2422683091839409,True,True,False,False,76.93935745290952,76.93935745290952,0.0,0,0.0,0.2144098870031122,0.5072480633324994,0.0,0.2577092408325746,0.8083021972068597,76.93935745290952,0.23060642547090482,True,False,False
100069,7,offset_drift,1.5674835822495303,0.2405061743371722,0.2405061743371722,True,True,False,False,84.65654268658963,84.65654268658963,0.0,0,0.0,0.2134340599030838,0.5023864632184141,1.1102230246251563e-16,0.2576001740072284,1.3269774079123582,84.65654268658965,0.15343457313410355,True,False,False
100070,7,offset_drift,1.95652664028803,0.3455236359838394,0.3455236359838394,True,True,False,False,82.33994728878451,82.33994728878451,0.0,0,0.0,0.3082670615329722,0.7228719815742513,2.775557561562892e-17,0.3618192305167236,1.6110030043041905,82.33994728878451,0.17660052711215482,True,True,True
100071,8,offset_drift,1.4218815616789229,0.1982457601296508,0.1982457601296508,True,True,False,False,86.05750538775064,86.05750538775064,0.0,0,0.0,0.183653682809923,0.4053032747221952,0.0,0.2155867287001534,1.223635801549272,86.05750538775064,0.13942494612249354,True,False,False
100072,8,offset_drift,1.1973164670102097,0.2377810453740131,0.2377810453740131,True,True,False,False,80.14050153609175,80.14050153609175,0.0,1,20.0,0.1947426853797325,0.472472515550614,0.0468979196801974,0.2354710919084993,0.9595354216361965,80.14050153609175,0.19859498463908248,True,False,False
100073,8,offset_drift,1.0222642660689385,0.2926196115574779,0.2926196115574779,True,True,False,False,71.37534576233104,71.37534576233104,0.0,0,0.0,0.2682795115036715,0.6027201396690246,1.1102230246251563e-16,0.3131971620566905,0.7296446545114605,71.37534576233104,0.2862465423766896,True,False,False
