case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise,z_adj,theta_adj,locator_offset,mean_gap,max_gap,parallelism_error,rms_deviation,quality_score,tolerance_pass
1285,0.6852127319559602,0.6883651028539544,-0.18543398604896577,0.76435089664642,0.02992875313861909,-1.5743193853059196,0.9368033634488613,0.7834341280114563,7.180992792880785,14.289236846530306,28.371589011008872,8.305459856264129,15.7830915807524,0
1286,-0.003922058003831275,-0.7484272892920427,-0.5843506253901842,0.6033218704275742,0.1268987862001955,-0.7617262612759146,-1.053039163639517,0.3314533631455612,8.003235674496581,15.840245141687681,31.292021256931843,9.23975720705454,17.464626342640283,0
1287,0.9579881657531741,-0.15197064827261486,0.2492928348536081,0.7898971980192666,0.03674978990394891,0.3648884689962544,0.266304992550342,0.09821439204892624,1.2626533850128772,2.835523993533894,1.9608474653633472,1.491597345228342,1.9668671876958697,0
1288,1.476518231775183,0.21001506384423285,0.023670067173870102,0.09841202132893852,0.10548137989401382,-1.8394631925264981,-1.136232255925863,-0.022937673873075548,4.0846804860160475,8.297307075502694,15.853224852989111,4.7166690736003405,8.94223063171239,0
1289,0.2897810885909293,0.99810812274776,0.6369803833658594,0.6788722561820619,0.0519582058546133,0.04457341289983763,1.1382455775884532,-0.16522289571444748,9.362573705851526,19.497635258599395,37.2627863755322,10.811485594974151,20.91804716149235,0
1290,1.2291616992095356,0.051978235488992164,-0.8281144454098077,0.4643349097687063,0.03270930425554822,-2.4848650506212944,-0.6338495628639761,-0.6137123352898193,2.619475855701183,6.6953173268597785,10.103094027176786,3.0844817187854487,6.133814334799868,0
1291,-0.516315291202265,0.7771938076185763,-0.33644077920397253,0.6761501019927929,0.0833419530197372,-2.4619264788871655,-0.7470318890322836,0.8625560904160727,2.364098896964233,3.599778124247802,0.536011689748886,2.4476097849843557,2.194727591786712,0
1292,0.41669378479087404,0.8590937171445479,-0.5696399390896414,0.5732499026261942,0.11580377398458896,2.378498013681277,-1.1563764403944943,0.9044744302464924,3.5781986591915387,5.6441883082119455,5.213061126190867,3.9172711373070683,4.722361541809012,0
1293,-0.4336391295833395,0.675984811489734,0.13413875466325176,0.4517196344266924,0.05390668322796752,1.6423629518909877,-0.5663674299891999,-0.015517227642787068,1.1171080444810904,2.114380993487582,1.7701466053994146,1.252949962629593,1.6257856892733853,0
1294,0.24069799506990153,0.4850421868549768,-0.08509398887538877,0.544226319071595,0.0727941144521963,0.7966031847929731,0.41794434289955573,0.4188831210584876,4.085643529178043,8.905203433298215,15.644891743496437,4.682335950432977,9.058955206835106,0
1295,1.2931991754413041,0.08144512191983466,-0.9201655083903202,0.5437126732952443,0.01156771252382428,-1.4052248876940798,0.701178068795518,-0.12985971133986807,3.457061645998879,7.268027306247851,13.65090146211292,4.034545329137048,7.7162516572216004,0
1296,-0.00782332939513175,0.9747938369670601,-0.7944825424532462,0.015642199628747643,0.016705891427676617,-1.2774907016958519,0.5422080585515261,0.5516440639695239,6.6866391208277545,14.495539739099712,26.49767714097421,7.750786524129583,15.07903545268346,0
1297,0.26195581605645524,-0.48990720260367726,0.06522568358047076,0.011966044747147376,0.10227014141126943,0.5714877770458395,-1.1476883054842955,0.6340232672655912,7.270074944482483,15.358147166253088,28.96148338286649,8.393303849191666,16.31624203299978,0
1298,1.053706140648487,-0.3835525088633738,0.4061299518969179,0.4811943707719786,0.02147704188403054,-1.5337034944281709,0.4396947269475109,0.8671032925400171,0.5098826772377657,1.413666452124023,1.0078464397035845,0.6328571404338734,0.9427043847629992,0
1299,0.3051372827950125,0.13562629111908975,0.44004508411151555,0.35246264014250306,0.008125806525201562,-0.5174807663765142,0.9606053042829352,0.6098936007830971,4.880473819245495,9.655216307718524,19.141949407457524,5.628536307823756,10.666145491108837,0
1300,1.7096942743082617,-0.6943368297351789,0.01787327111648862,0.467782523850355,0.03148882649894617,-1.4951488036551497,0.6768790383427254,0.3437038341044132,0.4231427878782922,1.0599236389684539,0.28420758146906167,0.5176968430225906,0.5819518867970014,0
1301,0.5887501472606407,-0.46602508403397014,0.020308272741620392,0.018455962791462267,0.019491907890064185,0.09125431380395632,-0.4567865384834092,0.9313395137930331,4.2192442213873695,8.740277893810568,16.115435929826678,4.8338632461369935,9.205873738121083,0
1302,-0.11406110693195748,-0.8328716872862987,-1.4464729582340627,0.5802062990781371,0.025726010707547087,-1.5609381549747048,-0.1828626656623895,-0.4718788216930707,4.410270614211413,10.565941165801615,17.739994763960837,5.174339255821855,10.332295888774343,0
1303,0.4663083189847579,-0.02861498555247244,-1.1656481955683098,0.6277926783275588,0.0638788281621372,0.5541715979465027,-1.190538401921564,0.2528000668730741,5.66908628160199,11.121852642643763,21.20407730351377,6.455619228888949,12.04406679121675,0
1304,-0.8686005718762622,-0.011258513580012952,-0.6068381885361308,0.7970085957137942,0.03462634720674353,2.0642980074462827,1.0031199163918003,-0.15799869413126455,4.452120534887005,10.6495847153778,17.299962292311353,5.285908840237583,10.249091146796607,0
1305,-0.783987537906575,-0.2379289062024177,1.468017262175394,0.4950369818700849,0.08171703567309578,-2.3204105933028636,0.8348232729528615,-0.832389088385602,4.644783582521068,8.441104159757641,10.383242891039671,5.385652469382568,7.5793044369337705,0
1306,-1.8121105318624746,-0.450283827764016,-0.07263418482744544,0.7162311680035205,0.11851181986242579,-1.5118392774707852,-0.30700913177453626,0.5604805292377655,3.958014269973922,9.612277646757294,13.507018678138342,5.0057701784447195,8.623770196305339,0
1307,0.10836978987638934,-0.6510161159518415,-0.31183439196499974,0.5007486436077655,0.1459838512213252,0.8090602742820452,-1.1611316106446472,0.41001655326505637,8.127743509445974,16.09220244795458,31.51720575167787,9.334476012650953,17.65459311398862,0
1308,-0.996540770171078,0.7243178284276297,-0.34833027532158445,0.1596920302034402,0.07019207797653516,-1.2240101284249727,-0.6340284276051587,0.14652360154698596,1.9151768010506538,3.1087773830732566,1.5268119028278442,1.9754787855721434,2.1627777046427408,0
1309,1.069385083403518,0.6699087483197512,-0.30699038858882677,0.05344301087755143,0.072596249769833,-0.3310926148580706,-0.7272505241927054,0.7922898022882403,1.3004724894140829,1.9523557232369009,0.784125772994333,1.387145803334725,1.3498007760270676,0
1310,1.8965930120827554,-0.8965056239338371,0.8872391395722974,0.516573246353231,0.0392154387248862,0.6757805914140649,-0.8912563399596611,-0.8611869834050054,7.935105675560427,18.64051850756177,31.19270131683178,9.308258648689403,18.261323514855132,0
1311,1.973956300209042,0.27273971691732024,-0.7403321264002994,0.36002716472301277,0.14251322734467606,-0.30637465806595143,0.9610668768056259,0.7376183959569234,5.867220479033513,12.207627250888246,21.903579356715337,6.777980906358524,12.67132621662698,0
1312,-0.6233747356366268,0.39201800815420507,0.48149551134777724,0.6169694964958735,0.054889374640122814,-2.2388175075093364,-0.7895058213299735,0.23310737534751835,3.2171296375766985,6.237965647361158,6.894322377919114,3.734414247607931,5.278266723617884,0
1313,1.100400747589414,0.512097269071192,0.2510447553450921,0.06780651657191399,0.0025932940778718716,1.4107087866103636,0.11850344205567054,0.5654242054630156,3.450396005374218,8.086231673021164,11.00770230221023,4.135812993006579,7.176880293482341,0
1314,-1.3488461540824446,-0.18515365845771292,1.2575078612339192,0.13727839299773256,0.00922903557188165,0.7673369189087422,0.2268872174922152,0.9040610117154666,1.00803938724436,1.507640205620788,0.7348368937153493,1.051456305864895,1.0803005765606386,0
1315,1.6258736842195032,0.498860780441142,-1.4425282863652433,0.3843095747252481,0.1344152904805558,-0.3317445594276136,1.109149727071187,0.304975961287965,7.444932580705416,15.032296310219683,28.213747531795637,8.555493834740824,16.0628423102903,0
1316,-1.5621714898288235,0.018544150373366985,0.5868514069354429,0.05229517779169655,0.05169742981061511,1.0854053152699317,-0.8230287304631181,-0.30332020345895483,3.669341797568647,7.502865616211686,14.03303865164627,4.220045606627329,7.983578380290713,0
1317,0.7596412898689358,0.5510818037282277,0.05553538147626158,0.7654860221600077,0.13879962881984947,-0.1328147304610745,-0.8153414157328263,0.5458631277679169,1.3922320286864451,3.1260096111336497,4.692447220320019,1.5877077819338603,2.9219774362354203,0
1318,-1.027441698427424,0.68564261999821,0.26143302346529484,0.31527440511819727,0.08345750378738162,0.1640438422896362,1.0193588301598024,-0.5712739004768743,7.5507868466791646,15.706915487124592,29.46268472620175,8.724307835225144,16.688546901524166,0
1319,1.7126338102067056,-0.937317917080289,0.8076098445992299,0.7357345045692522,0.05910782864797943,-2.1346640650236637,0.731202075584904,0.6857297113834702,1.1731973907032285,2.8798582365804037,3.5052333936024453,1.4208365486379466,2.4095703611296178,0
1320,-0.654970448046186,0.03718657137181225,0.9284072040304485,0.15363438180009564,0.0943463634586905,-0.3468467024209043,-0.7814021945897676,0.6628804145019191,3.404871920099568,7.3474962406943325,13.045438184199554,4.011072806655462,7.540449184163582,0
1321,-0.7012766712002931,0.8688522313100324,0.20680160945940607,0.41160798510779073,0.06349589163290385,-0.49664555071847305,0.7631190596090494,0.355001698972252,7.163916640941505,15.780808473407285,28.513348738097086,8.348001759891963,16.27222233172296,0
1322,1.0947605244936898,-0.1578316807775828,-0.7156883258917937,0.06949217482254558,0.11649839849760671,-0.42361784741147934,0.022136621032039283,-0.0613135296059093,1.169249887532433,2.1610061938250467,2.2892605418788268,1.3238710836598393,1.8182420953368759,0
1323,-0.2754485745230393,0.3677991541356995,0.32620234727582575,0.7776430389154445,0.02083558614738475,0.3675965661635838,-1.0482236078344465,0.6158368374163998,3.027768543811226,6.563140383980201,11.871413272811878,3.4582851842858586,6.784525178609577,0
1324,0.46524533300437243,-0.14324236801492418,0.9067069639318381,0.3640020867932626,0.03416791429701708,-0.13749619444831573,-1.030003688070386,0.795722219278775,5.185721844780028,10.959201726619094,20.489199662951933,5.991976898628748,11.589434660168191,0
1325,0.9238334989378445,0.5206315724300554,1.123479912055327,0.633258071052067,0.06477788853801597,-1.9068179923727517,-0.30392452804571335,0.8681694287594446,1.3975377207432589,3.119462492299933,3.8232204503779776,1.7173296670072782,2.673799165727079,0
1326,1.7963619649255187,0.5357417310475912,-0.8867082507858375,0.1555598867713285,0.13196572663210804,-1.790420384944376,0.20192994559797417,-0.2434966354418644,3.311509622524915,6.431309371886768,12.75184357632593,3.8191877847707354,7.130317549698358,0
1327,-0.7919559681552939,0.35476405135396094,1.3787072299558134,0.622106990592239,0.0729243889652331,-0.29644245898891786,0.9783940519737284,0.15621419694750793,6.0893292370999434,12.550199507982342,23.243067314946046,6.980037779001435,13.262782595908643,0
1328,-0.013443907735219085,0.3656717390628461,-0.7885385486114207,0.05098839005990374,0.1282667160728016,0.5363085034972843,-0.8042949570598348,-0.40390414699850563,2.042495932607159,4.383346687972278,7.57617910772937,2.396923516146101,4.440298870107251,0
1329,1.959734050358123,0.2688472649273106,0.4083364229013673,0.057730930566977624,0.14534876013658976,1.963914447793603,0.1146778614317292,-0.38122216709825296,3.463474565976448,7.196944223404506,6.819133697598621,3.982359810054167,5.6421017270992895,0
