assembly_id,batch_condition,component_index,severity,scenario_type,best_predicted_quality,second_best_predicted_quality,predicted_quality_margin,normalized_quality_margin,selected_tree_std,selected_tree_iqr,selected_tree_range,selected_utilization,selected_candidate_source,actual_regret,exact_best_hit,exact_best_miss,top3_hit,high_regret
735,high_variation,3,high,tilt,0.15275168659957847,0.21662270706408107,0.0638710204645026,0.4181362699577476,0.015918256876921232,0.0,0.11724234098462621,0.035213112861294374,informed,0.0,True,False,True,True
735,high_variation,4,medium,offset,0.1426272056671321,0.14453345566215067,0.0019062499950185663,0.013365262160905214,0.05153029410637322,0.0,0.3448355190756449,0.029594526655480412,informed,0.0025487817304191,False,True,True,True
735,high_variation,5,high,mixed,0.26593893822831105,0.2866100262661825,0.020671088037871432,0.07772870033844051,0.03346519030211986,0.03967407474665807,0.2959981043261496,0.008803278215323593,informed,0.0,True,False,True,True
742,high_variation,1,high,mixed,0.17737716676946183,0.25672192025810825,0.07934475348864642,0.4473222508496332,0.08819013469047486,0.06523745353993782,0.5842710726433752,0.4507395345446697,informed,0.0,True,False,True,True
742,high_variation,2,high,mixed,0.1899584674303736,0.2229717934896291,0.0330133260592555,0.17379233737688496,0.02077139638961635,0.036658876128976475,0.1009505161760828,0.018857956747841027,informed,0.0,True,False,True,True
742,high_variation,3,extreme,waviness,0.168414263729445,0.2386287521913466,0.07021448846190159,0.41691533072697523,0.020081685959296738,0.03362734630875602,0.1113775655735498,0.03958361990238231,informed,0.0,True,False,True,True
742,high_variation,4,extreme,twist,0.15490021663606657,0.21206681661691273,0.05716659998084617,0.36905435784610546,0.027234558945928383,0.01921613107729167,0.30373728192636806,0.01979180995119118,informed,0.0,True,False,True,True
742,high_variation,5,medium,bend,0.1990669232133399,0.2039089189494407,0.004841995736100779,0.02432345694574088,0.04847228973026763,0.053586046334825777,0.3202040736425702,0.0029142911731088353,informed,0.0027278787594493,False,True,True,True
752,high_variation,1,extreme,waviness,0.041752929154881296,0.06918409057804517,0.027431161423163875,0.6569877126801994,0.0014607669853825135,0.0,0.019652913129750205,0.0948810999608918,informed,0.0,True,False,True,True
752,high_variation,2,high,offset,0.04519718616225025,0.34457434196910647,0.2993771558068562,6.623800754589962,0.019311864340274248,0.0099810695852455,0.2526284454450109,0.3048887395525085,informed,0.0,True,False,True,True
752,high_variation,3,high,waviness,0.11004787276929194,0.11004787276929194,0.0,0.0,0.005365710145184777,0.0,0.05723544010152391,0.0,zero,0.0,True,False,True,True
752,high_variation,4,extreme,twist,0.1374959653417664,0.1374959653417664,0.0,0.0,0.008137064270780552,0.0,0.06141163522017409,0.0,zero,0.0,True,False,True,True
752,high_variation,5,medium,tilt,0.12822259485027798,0.33783972329791667,0.2096171284476387,1.6347908782566978,0.02824290418698246,0.0,0.2680522644397617,0.020537784583923087,informed,0.0,True,False,True,True
753,high_variation,1,high,twist,0.0015057513418577034,0.0015057513418577034,0.0,0.0,2.0315735960630312e-19,0.0,4.336808689942018e-19,0.0,zero,0.0,True,False,True,True
753,high_variation,2,high,mixed,0.16271819214970554,0.28129527321712905,0.11857708106742351,0.7287266377586662,0.02681300643458141,0.0,0.3704511035094651,0.03605039570840084,informed,0.0,True,False,True,True
753,high_variation,3,high,mixed,0.25106013210879985,0.2854973012643735,0.034437169155573655,0.13716701599061495,0.025745214288243147,0.0,0.26024307759226617,0.024662779153204396,informed,0.0,True,False,True,True
753,high_variation,4,medium,mixed,0.2543243589477981,0.30024353875379284,0.04591917980599475,0.18055360483743513,0.03332871505595889,0.0,0.24590552410933547,0.0529571740945657,informed,0.0,True,False,True,True
753,high_variation,5,high,tilt,0.23222999011543474,0.38185200433193167,0.14962201421649693,0.6442837729189249,0.04882312998605011,0.0,0.4952072170595509,0.023711651750218582,informed,0.0,True,False,True,True
757,high_variation,1,high,mixed,0.056855999822901813,0.056855999822901813,0.0,0.0,9.606463614075424e-18,6.938893903907228e-18,6.938893903907228e-18,0.0,zero,0.0,True,False,True,True
757,high_variation,2,high,tilt,0.05169887725360029,0.07173399650255814,0.02003511924895785,0.3875349004327287,0.0015010114631861032,0.0,0.014316652053236803,0.005986188966812081,informed,0.0,True,False,True,True
