batch_id,batch_condition,assembly_id,n_components,variation_multiplier,batch_offset_bias_mm,batch_angular_bias_deg,fixture_drift_mm,severity_sequence,scenario_sequence,final_mean_gap,final_max_gap,final_parallelism,final_rms,final_quality_score
4,fixture_drift,614,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,twist+tilt+mixed+mixed+mixed,0.836862799233805,1.7417592069808885,1.145574168366926,0.935448734761681,1.2108037258506539
4,fixture_drift,615,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,offset+mixed+mixed+mixed+waviness,1.1822744496603461,2.033225018999424,0.2684624589738221,1.283362815893587,1.1735248598794363
4,fixture_drift,616,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,offset+mixed+mixed+bend+waviness,1.2714901598578872,2.403362916815388,0.08977726852401952,1.4315601319678397,1.2725451167559725
4,fixture_drift,617,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,bend+mixed+mixed+mixed+waviness,0.7444854814657321,1.6681927911384475,0.6544854417539623,0.9302788171802389,1.0131769960254664
4,fixture_drift,618,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,bend+tilt+bend+offset+mixed,0.853802494193678,1.5366993753523037,0.48150902989606226,0.9803785728287407,0.9596411271154872
4,fixture_drift,619,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+bend+waviness+mixed,1.2551153326641509,2.2554393308132434,0.8609113797645189,1.4271766648207096,1.4541574794546448
4,fixture_drift,620,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,tilt+mixed+waviness+mixed+mixed,0.9072120991731816,2.0238185257384576,0.33610255219895774,1.0572246764482345,1.0858624207780025
4,fixture_drift,621,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+bend+bend+bend+mixed,1.3218140049251401,2.598482245825388,0.40470438745401827,1.5370975347017681,1.4512099449315405
4,fixture_drift,622,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+mixed+mixed+tilt+mixed,0.9266192559364851,1.6528149358716508,0.25374419784765506,1.0447369429871634,0.9544272111954536
4,fixture_drift,623,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,waviness+mixed+bend+mixed+mixed,1.148300271866039,2.052888684470676,5.551115123125783e-17,1.2810258951380222,1.0884592764148167
4,fixture_drift,624,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+twist+mixed+bend+mixed,0.9988128395973701,1.864994753134865,0.6787052013704313,1.1393712648562355,1.1766909647164234
4,fixture_drift,625,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,bend+mixed+mixed+mixed+mixed,1.4691837152113965,2.438131747989706,0.4225810321130516,1.5933950477732808,1.4583084533715742
4,fixture_drift,626,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+bend+offset+mixed+twist,0.9105804047983327,1.5817875860648014,2.4718279187124303,0.9687286710231183,1.5861316399749812
4,fixture_drift,627,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+offset+bend+bend+mixed,0.6350478008738477,1.4372336710365636,0.14192924744594732,0.7967434084634846,0.743937556653256
4,fixture_drift,628,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+offset+mixed+mixed+mixed,0.9357541809792309,1.8003494561976798,1.2187394200241635,1.036939053591937,1.2901468225195158
4,fixture_drift,629,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+mixed+mixed+tilt,0.8401953346298981,1.6838976398636805,0.011497958506196997,0.9927330591281999,0.8599505858127526
4,fixture_drift,630,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,offset+bend+bend+bend+mixed,1.6152728775490062,2.8046274805844433,0.0,1.7827240347373496,1.5042425109137696
4,fixture_drift,631,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+bend+mixed+mixed,0.8993641126568096,1.8145016696260665,0.3020844004703949,1.0538147142570184,1.010166526251683
4,fixture_drift,632,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+mixed+waviness+mixed+mixed,2.092187373808946,3.2360869306994546,0.8371574452394631,2.193862191302965,2.0690157440546555
4,fixture_drift,633,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+mixed+mixed+mixed,0.5403592516766855,1.4160944418367407,0.14618751626102344,0.6651568405980944,0.6973080469921443
4,fixture_drift,634,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+bend+offset+bend+twist,0.5688809212827322,1.002717147176904,1.1102230246251565e-16,0.6375747148577363,0.5352368920236645
4,fixture_drift,635,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,tilt+twist+twist+offset+mixed,0.5600324366392999,1.222781457805526,0.4353690335012752,0.6901245987413291,0.7344673382579633
4,fixture_drift,636,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,tilt+mixed+mixed+mixed+mixed,0.8456476085785132,1.964135587304234,0.6265871844740386,1.0791215462606432,1.1388232687331
4,fixture_drift,637,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+twist+mixed+mixed+mixed,1.0776075691876699,1.8940744826752351,0.16706114548036527,1.1944981606653697,1.0610727752695182
4,fixture_drift,638,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,waviness+mixed+waviness+mixed+mixed,0.6109631114681191,1.3720354194718607,0.8722760276556509,0.6677250011402996,0.9233548676927192
4,fixture_drift,639,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,tilt+twist+mixed+tilt+offset,0.3659502635839076,0.8006539155244222,0.3405312559696667,0.433779062599223,0.49551853678332125
4,fixture_drift,640,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,offset+offset+bend+offset+bend,1.1085353694611089,1.929133076258709,0.0,1.2290448560605436,1.0342050193219996
4,fixture_drift,641,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+bend+waviness+bend,1.0582868502769995,1.8806699245520444,1.0226781433589947,1.2100302668206095,1.3094935021384726
4,fixture_drift,642,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+bend+offset+mixed+offset,1.8410278263368836,3.048611631238269,1.0594154161333984,1.9994793984078003,1.984664401953345
4,fixture_drift,643,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,waviness+mixed+mixed+twist+tilt,0.819685859917015,1.6785359675993443,0.2628477477007539,0.9786889629299537,0.9261897688581293
4,fixture_drift,644,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,waviness+mixed+waviness+waviness+offset,0.9559040951199916,2.113446111588222,3.3306690738754696e-16,1.1219900874748978,1.033004070759954
4,fixture_drift,645,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,bend+mixed+tilt+bend+mixed,0.7520823682300184,1.4255750639766993,0.2532446811471427,0.8880200751996666,0.8180726415261248
4,fixture_drift,646,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+waviness+mixed+bend+mixed,0.9059982253876567,2.020895463031953,0.335593001523511,1.068130861800762,1.0855590931630124
4,fixture_drift,647,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+bend+offset+mixed+bend,1.3553213117124936,2.2105337937416314,5.551115123125783e-17,1.470605196352868,1.2168170512715242
4,fixture_drift,648,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,waviness+mixed+twist+mixed+mixed,1.024791999135294,1.9652796221280546,0.22715142146694473,1.1438873557387021,1.079555648392958
4,fixture_drift,649,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,offset+mixed+mixed+waviness+mixed,1.0066130116037009,1.9614177795275445,1.6501463450387246,1.194303379928003,1.5048834788437913
4,fixture_drift,650,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,twist+twist+waviness+bend+mixed,0.6108380155377137,1.4792674092111529,1.3877787807814457e-16,0.7679158589807927,0.7038232133227391
4,fixture_drift,651,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,waviness+twist+bend+mixed+waviness,0.7986200882214968,1.7222890997241673,0.02416073381791424,0.9614078134155547,0.8596617578706289
4,fixture_drift,652,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,waviness+mixed+twist+offset+bend,0.726212826986518,1.459415047205838,0.6957948322236054,0.8653550342003912,0.9509623153448276
4,fixture_drift,653,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+twist+bend+offset,0.9228708810149974,1.7581662259262067,0.5613613339347551,1.0671896548074538,1.0794384977435332
4,fixture_drift,654,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+mixed+mixed+twist+bend,0.5992101927109829,1.5196601892792896,0.11610068997776773,0.7692498400714135,0.7474163055975533
4,fixture_drift,655,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+offset+mixed+mixed,0.4776381957733691,0.9468778188292686,0.3582353320863201,0.5345885435187578,0.5882842583585631
4,fixture_drift,656,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+bend+twist+offset+mixed,1.965043078677037,2.601076572192391,0.1109833064627046,2.0125548321123876,1.6043863704108785
4,fixture_drift,657,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+bend+twist+mixed+waviness,0.9398685142462748,1.7659671704572202,0.6196218934783418,1.0875924963075647,1.1063965230853074
4,fixture_drift,658,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,tilt+waviness+mixed+mixed+twist,0.8762533633074342,1.567706572749294,1.7729606364434014,0.9697027332013701,1.3620464450701757
4,fixture_drift,659,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+twist+tilt+tilt,0.47968734825059356,1.102004303857295,0.03754837178091999,0.6153792765728362,0.5473099348239262
4,fixture_drift,660,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+waviness+twist+bend+bend,0.8612847128862865,1.8007962055507183,0.015086205721948121,1.0373870191236192,0.9068888391600478
4,fixture_drift,661,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+mixed+tilt+mixed,1.1467526245689204,2.173107412727204,0.029462821079733137,1.2765955302403245,1.1324564105367898
4,fixture_drift,662,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,twist+mixed+tilt+bend+mixed,0.8357965006008888,1.6744064794772309,1.1246894643393905,0.9935793614950136,1.1898256694747542
4,fixture_drift,663,5,1.0,0.0,0.0,0.25121630724053284,medium+medium+high+low+medium,mixed+mixed+tilt+mixed+mixed,0.7624828414036744,1.45686259296519,0.972244777193249,0.899699053034116,1.0474469687720456
4,fixture_drift,664,5,1.0,0.0,0.0,0.25121630724053284,high+medium+high+extreme+low,mixed+tilt+mixed+mixed+twist,1.1562964921703744,2.2081834015417825,0.39908778037317094,1.3501450269146968,1.2640848049170679
