assembly_id,batch_condition,component_index,severity,scenario_type,predicted_quality,actual_quality,prediction_absolute_error,true_best_of_20_quality,absolute_regret,exact_best_hit,top3_hit,selected_true_rank,selected_beats_zero,best_was_structured_initial,z_adj,theta_adj,locator_offset,correction_utilization,capability_penalty,mean_gap,max_gap,parallelism,rms
526,fixture_drift,2,medium,mixed,0.23992881702351343,0.24798705341173832,0.008058236388224893,0.23995991265687894,0.008027140754859385,False,True,2,True,True,-0.026884764213971457,-0.0095605980701912,-0.2512163072405328,0.2512163072405328,0.0008438500697351141,0.250929551958791,0.48103157014450604,4.163336342344337e-17,0.2839871678074919
526,fixture_drift,3,high,mixed,0.33713828135271506,0.3309681231979758,0.006170158154739258,0.25884690630203167,0.07212121689594414,False,True,3,True,True,-0.44107720713101245,-0.0028089424452714985,-0.2512163072405328,0.2512163072405328,0.0012565729163173626,0.32472303276356135,0.6551401399796362,5.551115123125783e-17,0.37009171375016575
526,fixture_drift,4,extreme,bend,0.42682193138265756,0.37931870482468,0.04750322655797756,0.31033174099592303,0.06898696382875696,False,False,4,True,False,-0.27324922443700006,0.002581022275586764,-0.4734744334373826,0.4734744334373826,0.0031483878329013055,0.3488148811600594,0.7376308888525991,0.04504733680677642,0.39870772778849545
526,fixture_drift,5,low,mixed,0.38764918390300307,0.3529449295159719,0.034704254387031175,0.3529449295159719,0.0,True,True,1,True,True,-0.12220302635536288,0.00859297743840692,-0.2512163072405328,0.2512163072405328,0.0008740037737652945,0.31566589409140655,0.7119491600484927,0.022523667832111016,0.3790331292436884
547,fixture_drift,1,medium,mixed,0.040026102760622476,0.03732773917363146,0.0026983635869910136,0.03732773917363146,0.0,True,True,1,True,True,0.2679886190355158,-0.04050702738188,-0.2512163072405328,0.2512163072405328,0.0010098660644974012,0.03684711207324988,0.07287042724293182,1.3877787807814457e-17,0.044124773787769446
547,fixture_drift,2,medium,offset,0.07218387957810984,0.06302462700177834,0.009159252576331503,0.06302462700177834,0.0,True,True,1,True,True,-0.17106591661681975,-3.975693351829396e-19,-0.2512163072405328,0.2512163072405328,0.0009038906756805629,0.0582427136855935,0.1273172984492387,0.0,0.07356623361328679
547,fixture_drift,3,high,mixed,0.24054292300961128,0.2152143655456487,0.025328557463962564,0.2152143655456487,0.0,True,True,1,True,True,-0.5557238086555286,0.0402239077953905,-0.2512163072405328,0.2512163072405328,0.0015152780068462472,0.2372865075711097,0.39127357105042204,1.1102230246251565e-16,0.26646341959189146
547,fixture_drift,4,low,waviness,0.1971819613780551,0.19047088267157228,0.006711078706482826,0.19047088267157228,0.0,True,True,1,True,True,-0.11766199079662,-3.180554681463517e-18,-0.1478648369957224,0.1478648369957224,0.0003210547342971651,0.1858536777405637,0.3772435010031533,2.7755575615628914e-17,0.215417290484572
547,fixture_drift,5,medium,tilt,0.18920957021688709,0.18442569911053192,0.00478387110635517,0.18442569911053192,0.0,True,True,1,True,True,-0.07725455143493494,0.0277033502574558,-0.2512163072405328,0.2512163072405328,0.000861300329543701,0.17315961661970672,0.37285937681115017,5.551115123125783e-17,0.20620001081274814
554,fixture_drift,1,high,bend,0.13587766881865235,0.13595243856444778,7.476974579542772e-05,0.13595243856444778,0.0,True,True,1,True,True,-0.0,-0.0,-0.2101938359805125,0.2101938359805125,0.0005890859824560345,0.1590123252876561,0.2358067595283313,2.42861286636753e-17,0.1750671311965157
