assembly_id,batch_condition,component_index,scenario_type,severity,global_quality,global_mean_gap,global_parallelism,batch_quality,batch_mean_gap,batch_parallelism,individual_quality,individual_mean_gap,individual_parallelism,individual_z_adj,individual_theta_adj,individual_locator_offset,correction_utilization
526,fixture_drift,5,mixed,low,1.2770440044820621,1.1360270859486938,0.5889009697010401,0.9015829897557371,1.0517755629664074,0.0074721519500470235,0.39709685336494255,0.39831061450342853,0.0,-0.22024230614804094,0.009883488576200297,-0.2512163072405328,0.2512163072405328
527,fixture_drift,1,offset,medium,0.22644804077636496,0.21917256169309948,0.1264581522587529,0.16099023803030643,0.20945303246828081,0.010172388708554303,0.037327739173631455,0.03684711207324988,0.0,-0.1739266450359426,-0.0,-0.2672839349048561,0.2672839349048561
527,fixture_drift,2,waviness,medium,0.346924565625235,0.27525291793202933,0.2529163045175058,0.21058640419472593,0.24019432612935773,0.02034477741710866,0.08391776424872825,0.07095266407035675,4.5102810375396984e-17,-0.01842355603662494,-0.0,-0.2512163072405328,0.2512163072405328
527,fixture_drift,3,mixed,high,0.7360564412164212,0.7162369708997828,0.37937445677625853,0.5429154602027435,0.6870783832253268,0.03051716612566302,0.11468831890765012,0.09656960409236252,5.551115123125783e-17,-0.4437780974898295,1.2921003393445537e-18,-0.2512163072405328,0.2512163072405328
527,fixture_drift,4,mixed,low,0.8287709010313745,0.8443894717843564,0.23650437314775602,0.7183007709265629,0.8055113548850816,0.22863868105303792,0.19027911892120053,0.1755029763426821,1.3877787807814457e-17,-0.03224122306409363,-0.015431370846924898,-0.2512163072405328,0.2512163072405328
527,fixture_drift,5,mixed,medium,1.0554666286882948,1.1768187017402636,0.05842529943006475,1.0736197525862412,1.1282210556161698,0.5230035183209276,0.2857145760709085,0.2851330365234517,0.0,-0.22897073319952,-0.0174486972136577,-0.2512163072405328,0.2512163072405328
528,fixture_drift,1,mixed,high,0.2530857497570129,0.13154115393370094,0.37500214288352024,0.18043855448014318,0.10017254049134007,0.25871637933332164,0.07219539268796621,0.06205728946153513,8.326672684688674e-17,-0.0,0.0142405213929064,-0.2512163072405328,0.2512163072405328
528,fixture_drift,2,twist,medium,0.35287847134794714,0.21181786640855876,0.5014602951422731,0.20642449758993434,0.1306963605079628,0.26888876804187595,0.10583075166934228,0.08979089698574512,2.949029909160572e-17,-0.01842355603662494,2.3854160110976377e-18,-0.2512163072405328,0.2512163072405328
528,fixture_drift,3,twist,high,0.4403516438553614,0.2615846344882568,0.627918447401026,0.2139666181283099,0.1448711334143243,0.27906115675043025,0.1113937642721813,0.09373482188527749,2.7755575615628914e-17,-0.03510304907711363,8.448348372637467e-19,-0.18476187682571937,0.18476187682571937
528,fixture_drift,4,mixed,extreme,0.6089075134550213,0.4339707258902489,0.2817266603465162,0.3651893834323721,0.2696740466759317,0.18341639385427813,0.22565374591508672,0.19510787890784193,1.942890293094024e-16,-0.028905447963333535,-0.0270808446931627,-0.5462312554978834,0.5462312554978834
528,fixture_drift,5,offset,low,0.6359277703357914,0.43942598801827537,0.4081848126052691,0.2928619818361941,0.21249976280131463,0.17324400514572377,0.23106273482910383,0.19761912329685669,8.326672684688674e-17,0.11480629066538198,5.565970692561154e-18,-0.23549275582195248,0.23549275582195248
529,fixture_drift,1,bend,medium,0.20987735686085976,0.17492210091967422,0.12645815225875287,0.1325472866441057,0.14968579070853516,0.010172388708554282,0.13319000188181107,0.15567473268544446,2.3418766925686896e-17,-0.0,-0.0,-0.2512163072405328,0.2512163072405328
529,fixture_drift,2,mixed,medium,0.3806791711846857,0.2041952982443705,0.44277590994566207,0.4446099221477721,0.17209434695136216,0.6753474370460593,0.14743991071508117,0.16039808534594302,2.7755575615628914e-17,0.14309120070808157,-0.0398602212982321,-0.2512163072405328,0.2512163072405328
529,fixture_drift,3,bend,high,0.4317534460973322,0.33846150872135033,0.3163177576869093,0.48089118632163835,0.2793250009192651,0.665175048337505,0.24239599961353114,0.2658938703552768,5.551115123125783e-17,-0.07493845178584424,-7.951386703658792e-19,-0.2512163072405328,0.2512163072405328
529,fixture_drift,4,bend,low,0.5067039087806487,0.44036696263038044,0.18985960542815644,0.5263129572073288,0.35202444424383583,0.6550026596289507,0.2565109069740207,0.279623123717648,0.0,-0.12091645277429287,-1.5902773407317584e-18,-0.2512163072405328,0.2512163072405328
529,fixture_drift,5,mixed,medium,0.545124128476361,0.4959446160372304,0.0634014531694036,0.5524458133431006,0.3363933101758516,0.6448302709203964,0.2467484283352074,0.2527114161304395,1.1102230246251565e-16,-0.09357086338165621,-0.0,-0.2512163072405328,0.2512163072405328
530,fixture_drift,1,mixed,high,0.6917046301872054,0.4155254865304169,1.0858379934605629,0.6254969149977673,0.3670520485983247,0.9695522299103643,0.24811040209462387,0.25209296510932167,5.551115123125783e-17,0.0163117299519444,0.0549683989863168,-0.2512163072405328,0.2512163072405328
530,fixture_drift,2,tilt,medium,1.1861036540386969,0.6339798899097246,1.980158705573707,1.0271742269660995,0.5246595979944232,1.7475871784733097,0.19894585545265756,0.19718156576344237,5.551115123125783e-17,-0.12352761312373732,0.0439952752790421,-0.2512163072405328,0.2512163072405328
530,fixture_drift,3,bend,high,1.3887187776248289,0.8584707360365512,2.10661685783246,1.1301528311153324,0.7075873057384521,1.757759567181864,0.27267710456723804,0.2811845207144595,2.7755575615628914e-17,-0.0801873625984936,1.5902773407317584e-18,-0.4957124895079715,0.4957124895079715
530,fixture_drift,4,mixed,extreme,1.9951855878432032,0.8542482690937567,2.9502890315303687,1.647234302997605,0.6574358089349005,2.4851459773295748,0.34614254645105524,0.36599720230361343,0.0,0.6907503935443207,0.0410933293899892,-0.2512163072405328,0.2763001574177283
530,fixture_drift,5,bend,low,2.1018532289236185,0.9452364207145214,3.0767471837891214,1.6559487890285707,0.6677318878789373,2.495318366038129,0.349456750232722,0.37294398031828574,0.0,-0.14498679645309115,-0.0,-0.2512163072405328,0.2512163072405328
531,fixture_drift,1,waviness,medium,0.1448183783897317,0.09451584877200937,0.12645815225875293,0.061219264655178324,0.052093712433392204,0.010172388708554348,0.057867139652065996,0.04883942154284029,4.0766001685454967e-17,-0.0,-0.0,-0.2877883622357136,0.2877883622357136
531,fixture_drift,2,tilt,medium,0.21908597519258552,0.15257883227607066,0.15764058089089877,0.11582764961664826,0.07431758590337144,0.07493094620949839,0.0818836823426481,0.06939896097991405,2.0816681711721685e-17,-0.01842355603662494,-0.005458896837341799,-0.2512163072405328,0.2512163072405328
531,fixture_drift,3,mixed,high,0.794642874228675,0.8000905532948167,0.24217863988907212,0.6595738495346661,0.7709319656203603,0.10667865076152361,0.1438901041024223,0.13153288907738708,1.1102230246251565e-16,-0.7315913959124813,-0.0024018444192190997,-0.2512163072405328,0.2926365583649925
