sequence_length,assembly_index,component_index,lsq_quality,hybrid_quality,hybrid_minus_lsq
5,35,3,0.21076272141519584,0.20832738247410842,-0.0024353389410874116
5,35,4,0.1464771721356984,0.12331353475927513,-0.023163637376423282
5,35,5,0.16771286058994508,0.1358966236427889,-0.031816236947156185
5,36,1,0.07106508079222718,0.062232687551638036,-0.00883239324058914
5,36,2,0.2328788512051899,0.14794750844268245,-0.08493134276250744
5,36,3,0.11199208001206279,0.0907616512258087,-0.021230428786254085
5,36,4,0.21724313205653906,0.14211982462060624,-0.07512330743593282
5,36,5,0.08163911596281558,0.07440035859520917,-0.007238757367606402
5,37,1,0.160453281577209,0.0705558187989263,-0.0898974627782827
5,37,2,0.14545922696528407,0.09943595765273605,-0.04602326931254802
5,37,3,0.10732513334583116,0.08711131995291527,-0.02021381339291589
5,37,4,0.189682764503221,0.17266883618943718,-0.017013928313783816
5,37,5,0.2178155299183413,0.1548148648210641,-0.0630006650972772
5,38,1,0.12904786759021059,0.13400070475897408,0.004952837168763491
5,38,2,0.3496115858036777,0.30573237890953603,-0.043879206894141654
5,38,3,0.6097762463895267,0.5147007156424713,-0.09507553074705533
5,38,4,0.6577906315075228,0.5546072518122617,-0.10318337969526115
5,38,5,0.7913453887362516,0.6355401758882333,-0.1558052128480183
5,39,1,0.0968035620074467,0.0864967747131245,-0.010306787294322203
5,39,2,0.1675005304759279,0.15538962777814933,-0.012110902697778564
5,39,3,0.3843473660886519,0.3248294751287644,-0.059517890959887465
5,39,4,0.599320583297136,0.5009206628757693,-0.0983999204213667
5,39,5,0.40021363742420446,0.3447845600332848,-0.05542907739091968
5,40,1,0.10865599006538694,0.0862232418912266,-0.02243274817416034
5,40,2,0.25802421515869084,0.1845550998131499,-0.07346911534554093
5,40,3,0.055489441538065544,0.04367862638731823,-0.011810815150747313
5,40,4,0.18156231319437915,0.14837846686945877,-0.033183846324920385
5,40,5,0.394791901988728,0.31027192393159975,-0.08451997805712824
5,41,1,0.13552935527688978,0.09190158616842073,-0.04362776910846905
5,41,2,0.15668520498829264,0.11328583411715369,-0.043399370871138945
5,41,3,0.3139891803048731,0.23495365656594575,-0.07903552373892736
5,41,4,0.2528424076431485,0.2160781022955217,-0.03676430534762681
5,41,5,0.29747568287240816,0.31202324477667115,0.014547561904262984
5,42,1,0.19525585184066796,0.18233872291745457,-0.012917128923213395
5,42,2,0.39209612535241767,0.29019771597950356,-0.10189840937291411
5,42,3,0.1251246140747599,0.11763371702544503,-0.007490897049314854
5,42,4,0.2643914836337566,0.21941570119528908,-0.044975782438467504
5,42,5,0.19071564385587664,0.1362997338496124,-0.05441591000626425
5,43,1,0.1762743526017144,0.13445454107416108,-0.04181981152755332
5,43,2,0.12126682235551042,0.11248398875991518,-0.008782833595595244
5,43,3,0.1840371346801941,0.16661622281425884,-0.01742091186593525
5,43,4,0.25735582167807025,0.1767926400140765,-0.08056318166399376
