assembly_index,component_index,nonlinearity_strength,zero_quality,lsq_quality,z_adj_mm,theta_adj_deg,locator_offset_mm,solver_success,sequence_length
8,5,0.0,2.217286551940508,0.2613476006766365,0.4342100792309762,0.023989357215388498,-0.4989267552659766,True,5
9,1,0.0,0.8516298701841745,0.23187412423203152,-0.3264380242648578,0.06294737289679697,-0.09092395587694002,True,5
9,2,0.0,0.781433117951452,0.2561910344854793,0.6057447314435787,-0.014138242299912531,0.4821189096416673,True,5
9,3,0.0,1.6904870752340877,0.4718027457952868,0.4252675379579683,0.06627542030267791,-0.013017947425295802,True,5
9,4,0.0,1.9800663420905047,0.525826092932348,-0.08891967689601674,0.03249358734247836,0.3362418489293361,True,5
9,5,0.0,2.664022172790105,0.3974471581234437,0.03150007350553988,0.09227041709980283,0.08888368061345173,True,5
10,1,0.0,1.1072744091229612,0.08076310063415888,0.6248587806141164,0.08319319538436216,0.24656645036391867,True,5
10,2,0.0,1.454535061589309,0.10243648192596935,0.0947836003053274,0.033590755697785135,-0.12286821700914484,True,5
10,3,0.0,1.2346803805733373,0.13383429674779712,-0.16528608537808523,-0.017154968252585334,0.26490432405926273,True,5
10,4,0.0,1.6718104814448684,0.2151872825751853,0.32472553171938556,0.02994501028779296,0.07165892610177374,True,5
10,5,0.0,2.738189061420247,0.3516214303686904,0.37518501479018956,0.10125771221404971,-0.22915425428109232,True,5
11,1,0.0,1.073784028365084,0.07738378823241829,-0.2611892943092469,0.09816911648088211,-0.1840422601347557,True,5
11,2,0.0,1.0339053839199392,0.03173718458821498,0.4454947127612639,0.002723655100002411,0.17050625815152676,True,5
11,3,0.0,0.7339471939636973,0.16304424816941415,0.5107910626296607,-0.07283814008857491,0.20332154532477126,True,5
11,4,0.0,1.1878994847745001,0.19723649450759118,-0.21048968918542174,0.07081928963887375,0.37468184573542557,True,5
11,5,0.0,0.8815952645656071,0.2158929388181689,-0.2865040868375819,-0.02698810649118828,0.10961778573167227,True,5
12,1,0.0,0.5044831413557158,0.15468657507128947,-0.36963554612272953,-0.03241923025026356,-0.08853766727638,True,5
12,2,0.0,0.5898329318412032,0.11360037440149862,0.10985711328498321,-0.019790473683186413,0.05048846364470105,True,5
12,3,0.0,0.8515439402083445,0.24852501113978606,0.45604473366953213,-0.024358272124449274,0.07313294579849414,True,5
12,4,0.0,0.9929845429837962,0.40147806185650825,0.5185597741076458,0.02173522964848179,0.05863933108482297,True,5
12,5,0.0,1.820578553798085,0.3973659409539116,0.31716377339880436,-0.08004443698925698,-0.1730457412265702,True,5
13,1,0.0,0.6914839721610373,0.23286763567531937,-0.20429847682014077,0.06076417832196723,0.12165478484740987,True,5
13,2,0.0,1.3323093750572694,0.24296657678086414,-0.42494237725827966,0.044962188113383296,-0.19877199842841356,True,5
13,3,0.0,1.8793843511743884,0.21600134202595409,-0.3351205826999917,0.038439152973174365,-0.3898103328620991,True,5
13,4,0.0,2.048465786846415,0.11608606126319765,0.5313539827854334,0.045819250717475155,-0.023694581446146692,True,5
13,5,0.0,2.873348663221216,0.11627816229822455,-0.09646608477145854,0.084245769396079,-0.02124814193488527,True,5
14,1,0.0,0.9201695497976548,0.19903207406458137,0.6324193841912884,0.0497248774305412,0.0426691459083958,True,5
14,2,0.0,1.1320999005666752,0.29052554561653376,-0.0258245896869557,0.024884261992885643,-0.05570706559103353,True,5
14,3,0.0,1.0702486670607874,0.1711476110639599,-0.5517563484622998,0.027517183213996318,-0.2113169668924887,True,5
14,4,0.0,1.2265387712205642,0.2542070177707307,0.15230506495540927,0.012117024609871756,0.29080302307604317,True,5
14,5,0.0,1.8466715530241218,0.1607172309984673,0.051063262169475335,0.07806521229394141,0.03751303172594168,True,5
15,1,0.0,0.2581049492293925,0.24909989319160364,-0.018119833792900757,0.006422842547560693,0.32328412874267454,True,5
15,2,0.0,0.6500402543699921,0.3516371358696685,-0.5266271679710971,-0.006659949839031577,-0.42442209617333615,True,5
15,3,0.0,0.9222843119664544,0.3453723111129733,-0.2132615223550158,-0.027731111714042325,0.16509817892223638,True,5
15,4,0.0,0.800300245448641,0.206284131206183,0.28120537117546085,0.08625237541452846,0.07282244844013842,True,5
15,5,0.0,0.6127706216807108,0.351028511760929,0.7259577280176908,-0.06960927941396042,0.3746061569920945,True,5
16,1,0.0,0.531788901769334,0.07531525624803456,0.2255170516998073,-0.04770401287096679,-0.042002922273926595,True,5
16,2,0.0,1.0256027291932401,0.1734379305784233,-0.5034512671470239,-0.04313883880096616,-0.48516797220811,True,5
16,3,0.0,2.1373822482426084,0.2594482700791106,-0.3907978770707468,-0.09790837627207019,-0.4439494165768266,True,5
16,4,0.0,2.53232558766954,0.3543647725761135,-0.33729306529604525,-0.01800545210001722,-0.37996140700396275,True,5
16,5,0.0,2.5447963620398433,0.5504846369323779,-0.052433636728030725,0.011812640282866682,-0.0682181338750175,True,5
17,1,0.0,0.48668205201094694,0.12906278811401456,0.35801098273819254,0.010431763915668751,0.3206048385688675,True,5
17,2,0.0,1.2932533631641854,0.1983962603982672,0.5908275713736939,0.031549007738902145,0.5202717980714203,True,5
17,3,0.0,0.8324705246590771,0.12563995422895308,-0.32000954956300076,-0.010400209242185715,-0.4221738991173812,True,5
17,4,0.0,1.0362776965127414,0.20766829268349563,0.3509359387640022,-0.00425738044189569,-0.2905134514468724,True,5
17,5,0.0,1.176584490424398,0.4298156299471777,-0.248648709364072,0.027842494095327,-0.21848949340992138,True,5
