assembly_index,nonlinearity_strength,zero_final_quality,lsq_final_quality,lsq_improvement_percent,lsq_beats_zero,sequence_length
145,0.0,0.8282545096754171,0.18256825366101273,77.95746940966745,True,5
146,0.0,0.8089568101091583,0.38263348132731084,52.7003819554125,True,5
147,0.0,2.337437011520876,0.37859528071389226,83.80297399040687,True,5
148,0.0,2.1167402483806006,0.21121095699821374,90.02187646028844,True,5
149,0.0,1.1770671887045037,0.1637488129486745,86.08840561354032,True,5
150,0.0,1.2013122979071182,0.1191126861007204,90.08478592051092,True,5
1,0.25,1.6155620654819145,0.1388168574289275,91.40751937700895,True,5
2,0.25,0.9989476143983692,0.17336248871787446,82.64548748912277,True,5
3,0.25,1.368388551486753,0.19919177295620344,85.44333239708986,True,5
4,0.25,0.926680773690706,0.14109609126476025,84.77403489199257,True,5
5,0.25,0.8623929212203131,0.12113272261165575,85.95388254807924,True,5
6,0.25,0.9812027761442903,0.42923584614299876,56.25411417712115,True,5
7,0.25,0.5997890062145773,0.08364655266019834,86.05400369237955,True,5
8,0.25,2.217286551940508,0.26199830660957557,88.18383188315096,True,5
9,0.25,2.664022172790105,0.37984725675059516,85.74158801565939,True,5
10,0.25,2.738189061420247,0.367622521570638,86.57424621439546,True,5
11,0.25,0.8815952645656071,0.2086649517911038,76.33098087318785,True,5
12,0.25,1.820578553798085,0.4146103919963794,77.22644864010836,True,5
13,0.25,2.873348663221216,0.12692481684849652,95.58268655408476,True,5
14,0.25,1.8466715530241218,0.17494976990938851,90.5262108130225,True,5
15,0.25,0.6127706216807108,0.32986011396627124,46.169071705570836,True,5
16,0.25,2.5447963620398433,0.5481849060900746,78.45859439807343,True,5
17,0.25,1.176584490424398,0.42758086278442736,63.659145070814475,True,5
18,0.25,2.380122395647919,0.42724007239684963,82.04965958145416,True,5
19,0.25,2.1032599338816875,0.4528480216693517,78.46923176853397,True,5
20,0.25,1.2712598361868024,0.23637695367797246,81.40608654899417,True,5
21,0.25,1.7820554203929846,0.1654349289731909,90.71662266616217,True,5
22,0.25,1.2605341083754042,0.4835197470230804,61.64167682489385,True,5
23,0.25,0.7989919909831531,0.3661104594725967,54.17845690516862,True,5
24,0.25,1.053927929405775,0.15241036735149452,85.53882451550302,True,5
25,0.25,2.3488093800901306,0.2907625393363307,87.62085413141644,True,5
26,0.25,1.8297675947525618,0.3357603695578459,81.65010843340185,True,5
27,0.25,1.0848418893910023,0.1583288013859443,85.40535695253938,True,5
28,0.25,2.6923528111605233,0.5304548389739414,80.29772187452312,True,5
29,0.25,1.1347668081798,0.5494752788436904,51.57813262752501,True,5
30,0.25,1.538800037734795,0.23079934734195245,85.00134249530544,True,5
31,0.25,0.9446979888117288,0.3766915586642078,60.12571603565893,True,5
32,0.25,1.9356279022057263,0.09376156962831372,95.15601270670523,True,5
33,0.25,2.2402829562161837,0.3176047173121771,85.82300881096698,True,5
34,0.25,0.7442225272495094,0.4307800236812705,42.11677181106796,True,5
35,0.25,1.0053518342352317,0.14589081089613576,85.48858161609517,True,5
36,0.25,1.0783828068556414,0.17076019069145842,84.16516012626698,True,5
37,0.25,0.8494808743701147,0.5356550602011048,36.943246591832924,True,5
38,0.25,0.8944062328161279,0.14730994878034442,83.5298611105913,True,5
39,0.25,0.7056637729307728,0.13762300939396266,80.49736791469614,True,5
40,0.25,2.898456866240764,0.5019672873317083,82.68156779635817,True,5
41,0.25,2.4928804346602886,0.11131455197985513,95.53470152711016,True,5
42,0.25,1.271260517878723,0.16857704341198868,86.73937866856095,True,5
43,0.25,2.754480490816126,0.07286364418586729,97.35472280784684,True,5
44,0.25,2.9947992423768874,0.841695919291023,71.89474648647925,True,5
45,0.25,1.9187333213626385,0.25173133776480133,86.8803374099936,True,5
46,0.25,2.30175934946019,0.30003107777761107,86.96514134512043,True,5
47,0.25,3.067166025319862,0.33663218523684924,89.02465068868442,True,5
48,0.25,1.5647994279234512,0.25798917186445436,83.51295589321526,True,5
49,0.25,1.3100332298872566,0.15178775901119104,88.41344207549191,True,5
50,0.25,1.2484407502482293,0.1821843530180221,85.40704851377224,True,5
51,0.25,1.3209771518861586,0.18985677988873695,85.62755005885985,True,5
52,0.25,1.5387889252023161,0.2608776752610746,83.04655882373373,True,5
53,0.25,1.3199945501194525,0.28262906159788315,78.5886190535933,True,5
54,0.25,1.3179541734287847,0.2965425334570747,77.49978417795887,True,5
55,0.25,1.8141265881846922,0.08796450573822569,95.15113739519978,True,5
56,0.25,0.9599982277117283,0.1611769939806464,83.21069879838932,True,5
57,0.25,2.2711293724386366,0.29147163852992575,87.16622478370941,True,5
58,0.25,2.340630667422512,0.5684262080027546,75.71482695180175,True,5
59,0.25,0.29661207968323755,0.1813097169711762,38.87311765427652,True,5
60,0.25,1.1778648857038152,0.2902028149628537,75.36196057076211,True,5
61,0.25,1.4850951088647755,0.5720965924008361,61.47744417270665,True,5
62,0.25,0.9175537778242256,0.17181078264173397,81.27512666896266,True,5
63,0.25,3.638461591981208,0.16867373776156291,95.36414681047336,True,5
64,0.25,1.0458400201126352,0.18898569775902416,81.92976993377336,True,5
65,0.25,1.884253046203329,0.3082784931551256,83.63922012617729,True,5
66,0.25,0.6653818879961019,0.17718544675397385,73.37086416830572,True,5
67,0.25,1.1547710716131672,0.20787476106099606,81.99861720032493,True,5
68,0.25,0.4463806198436404,0.10950328768948699,75.46862860492372,True,5
69,0.25,0.2673908759259186,0.11012354723510297,58.815517973914325,True,5
70,0.25,3.6223743004848883,0.2591532288524808,92.84576337630844,True,5
71,0.25,2.0948043556267715,0.3255058218855163,84.4612781613143,True,5
72,0.25,0.25923195678493094,0.17724698521097287,31.626105280675727,True,5
73,0.25,0.9756931961255049,0.1900763987860571,80.51883527108174,True,5
74,0.25,0.6253581349929025,0.16246464154676665,74.02054399618379,True,5
75,0.25,2.1196300665041017,0.15160591484506422,92.8475295174923,True,5
76,0.25,2.902687869025392,0.3058582906730236,89.46292868975544,True,5
77,0.25,3.008894186973267,0.19505652109724148,93.517335307379,True,5
78,0.25,3.219451643154607,0.15138613833740713,95.29776635535764,True,5
79,0.25,3.2367899909360554,0.15643018019788432,95.16711987382764,True,5
80,0.25,1.3454596876528822,0.6891831570678798,48.77712328415122,True,5
81,0.25,1.627575502906477,0.3411432399484636,79.03979020701283,True,5
82,0.25,2.325246207126198,0.38556432472548086,83.41834410722447,True,5
83,0.25,1.3855407541732971,0.8063621844660275,41.80162640202128,True,5
84,0.25,1.5461693580074072,0.3159273643810698,79.5670918748374,True,5
85,0.25,1.9835039232023415,0.11077767732280473,94.41505126221503,True,5
86,0.25,1.3067443728488748,0.7635650100539416,41.56737722242726,True,5
87,0.25,1.6574965519890743,0.48537502700077073,70.71637787612302,True,5
88,0.25,1.0058212943857001,0.21019262341202102,79.10238880551887,True,5
89,0.25,2.4082948498093115,0.42765314929208087,82.24249205507613,True,5
90,0.25,1.1268929979094635,0.39802329763602434,64.6795837426969,True,5
91,0.25,1.9658195946273176,0.19182681570371515,90.24189115684943,True,5
92,0.25,1.924102588256634,0.25018345154668414,86.99739540533714,True,5
93,0.25,1.627040747713862,0.22459382375630943,86.19617707350699,True,5
94,0.25,1.472380151303706,0.3297974464358723,77.6010668071112,True,5
95,0.25,1.9659393792538469,0.2808529725556462,85.71405733465488,True,5
