method,z_adj,theta_adj,locator_offset,predicted_quality_score,improvement_percent_vs_fixed,test_case_id,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise
random_search,-1.3638063910761156,0.1310034888380036,-0.8723654877916494,1.960493173860438,7.753169227534375,25,-1.4199021937946537,-0.07591235590044021,0.06580060024312884,0.2176358025289508,0.027018142041608465
bayesian_optimization,0.5356076942877057,0.09780146805537804,-1.0,1.770953062433835,16.6715754818827,25,-1.4199021937946537,-0.07591235590044021,0.06580060024312884,0.2176358025289508,0.027018142041608465
fixed_setting,0.0,0.0,0.0,3.4763769541259206,0.0,26,0.015684348768921996,0.3192766968173901,-0.8137366397331981,0.17473458469098724,0.14323485884445228
random_search,0.40530569850197473,-0.367512469116391,0.1818309829628335,2.1874450973141957,37.07687267003547,26,0.015684348768921996,0.3192766968173901,-0.8137366397331981,0.17473458469098724,0.14323485884445228
bayesian_optimization,-0.42749064835779027,-0.3274323089696519,-0.5447769420218992,1.900482464220393,45.33151930014911,26,0.015684348768921996,0.3192766968173901,-0.8137366397331981,0.17473458469098724,0.14323485884445228
fixed_setting,0.0,0.0,0.0,9.060609771334462,0.0,27,0.8995717366569567,-0.931326303482704,1.4448511025748974,0.006796933033510921,0.03974428224769364
random_search,-2.0180451892325033,0.9662457517052199,-0.08844742033277786,1.7398093330587363,80.79809883697823,27,0.8995717366569567,-0.931326303482704,1.4448511025748974,0.006796933033510921,0.03974428224769364
bayesian_optimization,-0.26842080783987443,0.9038831356237835,0.9686805472389608,1.677318011752947,81.48780210069782,27,0.8995717366569567,-0.931326303482704,1.4448511025748974,0.006796933033510921,0.03974428224769364
fixed_setting,0.0,0.0,0.0,8.700633516150878,0.0,28,1.6692966061384102,-0.839224567220394,1.0641471126609838,0.11574191789709065,0.026886161659375095
random_search,-1.6161360853038413,0.8558742818217013,0.5170390596704202,1.7910670752753028,79.41452111561111,28,1.6692966061384102,-0.839224567220394,1.0641471126609838,0.11574191789709065,0.026886161659375095
bayesian_optimization,-2.308869578861073,0.8809076909021909,-0.671529976407524,1.6849726230811755,80.63390878430425,28,1.6692966061384102,-0.839224567220394,1.0641471126609838,0.11574191789709065,0.026886161659375095
fixed_setting,0.0,0.0,0.0,8.092718822057481,0.0,29,1.1386938931968973,0.7908481132241889,-0.11779702178310769,0.030786945761776253,0.047295789031880704
random_search,-0.1906138487430633,-0.8129477303193557,0.0020895502067270755,2.173664335413334,73.1404935324232,29,1.1386938931968973,0.7908481132241889,-0.11779702178310769,0.030786945761776253,0.047295789031880704
bayesian_optimization,-0.6410269590393023,-0.704388135313839,0.9412667785982931,2.1612510496890063,73.2938818558936,29,1.1386938931968973,0.7908481132241889,-0.11779702178310769,0.030786945761776253,0.047295789031880704
