assembly_id,component_index,zero_quality,deterministic_quality,structured_quality,deterministic_z_adj,deterministic_theta_adj,deterministic_locator_offset,deterministic_utilization,least_squares_success,structured_advantage,winner,utilization_quartile,component_initial_quality_quartile
100009,4,0.6603433574059829,0.1729993668769684,0.1415979411780221,-1.6775798143767887e-16,-0.0078227037625051,-1.229485263598562e-16,0.0065189198020875,True,0.0314014256989463,STRUCTURED20,U1_lowest,Q3
100009,5,0.6601391083490844,0.2286679889728413,0.179855197966761,-0.0350489214251991,0.0025250290627299,0.0016757442095655,0.0140195685700796,True,0.0488127910060803,STRUCTURED20,U1_lowest,Q3
100010,1,0.4980139628210128,0.1445170280008819,0.1970915885199971,0.5302922427431124,0.0170335563414497,-0.1881877614773451,0.2121168970972449,True,-0.052574560519115215,DETERMINISTIC_LSQ,U3,Q2
100010,2,0.444514117705495,0.1453840914490539,0.1551132954118096,-0.0083310953940983,-0.0064946958572864,0.0081773986111828,0.0081773986111828,True,-0.0097292039627557,DETERMINISTIC_LSQ,U1_lowest,Q2
100010,3,0.3933271964396236,0.1546265192899585,0.1838107604650725,-0.0432042005378587,3.1805546814635168e-15,-0.2769981092250827,0.2769981092250827,True,-0.029184241175114006,DETERMINISTIC_LSQ,U4_highest,Q2
100010,4,0.3464729140839029,0.1848316004289749,0.3148976409003261,-0.1240580087780565,-3.1805546814635168e-15,-0.2352125382708924,0.2352125382708924,True,-0.13006604047135123,DETERMINISTIC_LSQ,U4_highest,Q2
100010,5,0.3657680375530181,0.1968888471065776,0.2781225731446263,-0.0483044757956935,0.0041193090036834,0.0092365079998021,0.0193217903182774,True,-0.08123372603804868,DETERMINISTIC_LSQ,U1_lowest,Q2
100011,1,0.0267458448203576,0.0151797524182544,0.0267458448203576,-0.0389561612514166,-3.975693351829396e-16,0.0382374758474147,0.0382374758474147,True,-0.0115660924021032,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100011,2,0.1711984394183364,0.0151797524182513,0.0189995512305938,1.7146031103761352e-17,-0.017265248288911,-2.0491421059976037e-17,0.0143877069074258,True,-0.0038197988123425015,DETERMINISTIC_LSQ,U1_lowest,Q1_lowest
100011,3,0.2634958148691215,0.0654872916462926,0.0525436956415725,-9.576001969802381e-18,-0.0067699669521451,2.2876665839444147e-17,0.0056416391267876,True,0.012943596004720108,STRUCTURED20,U1_lowest,Q1_lowest
100011,4,0.3456566411741116,0.1127157278463014,0.0852265061883726,-0.1125165534194904,0.0008192213876795,-1.7377727945869226e-17,0.0450066213677961,True,0.027489221657928803,STRUCTURED20,U1_lowest,Q2
100011,5,0.335734328085826,0.1110766228004867,0.0858503490022155,0.0198097361885794,0.0,-0.019444274916254,0.019444274916254,True,0.025226273798271207,STRUCTURED20,U1_lowest,Q2
100012,1,0.0661586504262701,0.0206378061971503,0.0661586504262701,-0.0454235161980028,7.951386703658792e-16,-0.0914298537459638,0.0914298537459638,True,-0.0455208442291198,DETERMINISTIC_LSQ,U2,Q1_lowest
100012,2,0.231497209487349,0.0502482579244775,0.0621272834143587,0.2583735247459749,0.011152751621248,7.554178636792752e-17,0.1033494098983899,True,-0.0118790254898812,DETERMINISTIC_LSQ,U2,Q1_lowest
100012,3,0.2969225604259778,0.1723409999918748,0.2102783220815916,-0.290478784643073,0.0087069811307948,-0.1468883556894859,0.1468883556894859,True,-0.03793732208971681,DETERMINISTIC_LSQ,U3,Q1_lowest
